Estado_x,Trimestre,"Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas, em situação de informalidade, na semana de referência","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência","Coeficiente de variação - Nível de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade","Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas, em situação de informalidade, na semana de referência","Coeficiente de variação - Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","Coeficiente de variação - Pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência","Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Coeficiente de variação - Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,"Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas, em situação de informalidade, na semana de referência","Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","Distribuição percentual das pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência","Nível da desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade","Pessoas de 14 anos ou mais de idade ocupadas, em situação de informalidade, na semana de referência","Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","Pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência","Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,NDVI,Cluster
Acre,202401,15.05,31.925,6.975,33.525,16.075,34.95,7.125,32.875,9.525,12.225,8.125,15.325,4.0,7.0,1.5,25.0,12.675,59.275,0.7233487189371344,2
Acre,202402,14.2,33.725,7.2,35.925,14.975,36.05,7.55,35.5,8.45,12.325,8.625,14.575,3.725,7.25,1.5,23.75,10.2,60.15,0.8339079192151506,2
Acre,202403,13.4,29.4,7.275,32.1,13.95,32.525,7.549999999999999,31.175,8.225,12.9,10.9,15.125,4.65,8.25,1.75,23.25,11.275,62.55,0.7867923109873108,2
Acre,202404,13.275,31.275,7.4,32.4,13.625,32.95,7.675000000000001,31.3,7.875,12.325,9.75,15.425,4.325,8.25,1.25,23.25,11.1,61.925,0.7974203277981575,2
Alagoas,202401,12.175,29.35,6.725,29.475,12.95,30.425,7.15,28.575000000000003,8.35,11.975,8.3,15.75,4.45,22.0,3.5,53.25,11.1,60.15,0.5396629490300903,0
Alagoas,202402,13.25,27.475,7.2,28.5,13.875,28.75,7.799999999999999,27.925,7.475,12.025,8.65,16.375,4.55,22.5,3.75,53.25,11.075,60.4,0.6818651428132946,2
Alagoas,202403,14.025,28.825,6.975,29.825000000000003,14.675,30.925000000000004,7.75,28.825000000000003,8.075,11.45,10.125,16.125,4.075,20.75,3.5,55.5,9.9,57.55,0.6236286291683361,1
Alagoas,202404,13.8,31.125,6.824999999999999,32.0,14.425,32.925,7.25,32.825,7.75,12.2,9.7,16.0,4.125,24.0,3.75,51.0,9.2,61.275,0.4177696421132911,0
Amapa,202401,20.025,41.13333333333333,11.55,40.6,22.65,43.23333333333333,12.075,39.3,9.6,11.675,11.333333333333334,13.45,5.966666666666666,12.5,3.0,21.25,12.3,71.575,0.546038378518416,2
Amapa,202402,21.175,75.7,12.775,81.23333333333333,24.15,78.60000000000001,12.925,86.5,12.7,12.125,6.0,13.55,2.1,12.75,1.0,22.25,4.666666666666667,67.5,0.618709621397253,2
Amapa,202403,19.55,61.26666666666667,11.8,70.46666666666667,23.625,67.46666666666665,11.9,74.56666666666666,12.9,12.475,7.766666666666667,13.25,2.2666666666666666,13.0,1.3333333333333333,22.75,4.833333333333333,68.2,0.7317200388080295,2
