Estado,NDVI,Trimestre,Região
Alagoas,0.5396629490300903,202401,Nordeste
Bahia,0.6746041756986478,202401,Nordeste
Ceara,0.6146647098459086,202401,Nordeste
Espirito Santo,0.7169480224833762,202401,Sudeste
Maranhao,0.6583631869281824,202401,Nordeste
Minas Gerais,0.7190517719471097,202401,Sudeste
Paraiba,0.6208971268492907,202401,Nordeste
Pernambuco,0.6024449388482406,202401,Nordeste
Piaui,0.7250745598473836,202401,Nordeste
Rio De Janeiro,0.7406419876627073,202401,Sudeste
Rio Grande Do Norte,0.6125870880857479,202401,Nordeste
Sao Paulo,0.7178353987805204,202401,Sudeste
Sergipe,0.5364438444699642,202401,Nordeste
Acre,0.7233487189371344,202401,Norte
Amapa,0.546038378518416,202401,Norte
Amazonas,0.7530703745607926,202401,Norte
Distrito Federal,0.6460184346650448,202401,Centro-Oeste
Goias,0.7254482653836746,202401,Centro-Oeste
Mato Grosso,0.738304869022026,202401,Centro-Oeste
Mato Grosso Do Sul,0.6985310660997014,202401,Centro-Oeste
Para,0.6657994431785472,202401,Norte
Parana,0.7341529875710952,202401,Sul
Rio Grande Do Sul,0.7437079512871023,202401,Sul
Rondonia,0.7475530995324474,202401,Norte
Roraima,0.7160751415099835,202401,Norte
Santa Catarina,0.7802535343535412,202401,Sul
Tocantins,0.6915100864966802,202401,Norte
Alagoas,0.6818651428132946,202402,Nordeste
Bahia,0.6392828021784346,202402,Nordeste
Ceara,0.7337389161121093,202402,Nordeste
Espirito Santo,0.7131595873400721,202402,Sudeste
Maranhao,0.7185935267184915,202402,Nordeste
Minas Gerais,0.6633718645009643,202402,Sudeste
Paraiba,0.6989959935846315,202402,Nordeste
Pernambuco,0.6448494037047644,202402,Nordeste
Piaui,0.6926279703627208,202402,Nordeste
Rio De Janeiro,0.7026383482606839,202402,Sudeste
Rio Grande Do Norte,0.7058129559495032,202402,Nordeste
Sao Paulo,0.6522533786338667,202402,Sudeste
Sergipe,0.6654864314779951,202402,Nordeste
Acre,0.8339079192151506,202402,Norte
Amapa,0.618709621397253,202402,Norte
Amazonas,0.7708687432010306,202402,Norte
Distrito Federal,0.6074754784689285,202402,Centro-Oeste
Goias,0.6473596597979754,202402,Centro-Oeste
Mato Grosso,0.7295499016599469,202402,Centro-Oeste
Mato Grosso Do Sul,0.6531006230135388,202402,Centro-Oeste
Para,0.7331978866975649,202402,Norte
Parana,0.6908230834235887,202402,Sul
Rio Grande Do Sul,0.6262927438967829,202402,Sul
Rondonia,0.7630409901466029,202402,Norte
Roraima,0.6602092978315891,202402,Norte
Santa Catarina,0.7442156515323214,202402,Sul
Tocantins,0.6625379693840309,202402,Norte
Alagoas,0.6236286291683361,202403,Nordeste
Bahia,0.4665405286875408,202403,Nordeste
Ceara,0.4880158486207796,202403,Nordeste
Espirito Santo,0.5676771297333358,202403,Sudeste
Maranhao,0.6015524049012735,202403,Nordeste
Minas Gerais,0.4797336202801971,202403,Sudeste
Paraiba,0.4583742032144481,202403,Nordeste
Pernambuco,0.4748763771808752,202403,Nordeste
Piaui,0.4726414932128551,202403,Nordeste
Rio De Janeiro,0.5783038416985645,202403,Sudeste
Rio Grande Do Norte,0.4730790817628958,202403,Nordeste
Sao Paulo,0.4967022637837672,202403,Sudeste
Sergipe,0.6074303141637658,202403,Nordeste
Acre,0.7867923109873108,202403,Norte
Amapa,0.7317200388080295,202403,Norte
Amazonas,0.8184819266024063,202403,Norte
Distrito Federal,0.3981755540678987,202403,Centro-Oeste
Goias,0.4132475371347735,202403,Centro-Oeste
Mato Grosso,0.5708369975973555,202403,Centro-Oeste
Mato Grosso Do Sul,0.4678243402859587,202403,Centro-Oeste
Para,0.7570516786214386,202403,Norte
Parana,0.5988238786386739,202403,Sul
Rio Grande Do Sul,0.6572876193416194,202403,Sul
Rondonia,0.6632842263254086,202403,Norte
Roraima,0.7389103261911277,202403,Norte
Santa Catarina,0.6901253071204684,202403,Sul
Tocantins,0.4952407380277656,202403,Norte
Alagoas,0.4177696421132911,202404,Nordeste
Bahia,0.5312754281726513,202404,Nordeste
Ceara,0.4044859478085813,202404,Nordeste
Espirito Santo,0.6415935595842926,202404,Sudeste
Maranhao,0.570403562387301,202404,Nordeste
Minas Gerais,0.6167802942112,202404,Sudeste
Paraiba,0.3616671929248356,202404,Nordeste
Pernambuco,0.412181636534335,202404,Nordeste
Piaui,0.5618982403449674,202404,Nordeste
Rio De Janeiro,0.6734195754967176,202404,Sudeste
Rio Grande Do Norte,0.3567308415398992,202404,Nordeste
Sao Paulo,0.6270580578986753,202404,Sudeste
Sergipe,0.4013343572994261,202404,Nordeste
Acre,0.7974203277981575,202404,Norte
Amapa,0.6660120530208873,202404,Norte
Amazonas,0.783678373940055,202404,Norte
Distrito Federal,0.5499339481935385,202404,Centro-Oeste
Goias,0.6301976970400112,202404,Centro-Oeste
Mato Grosso,0.6796654310345911,202404,Centro-Oeste
Mato Grosso Do Sul,0.6559896913919939,202404,Centro-Oeste
Para,0.692411984322103,202404,Norte
Parana,0.7166154414457708,202404,Sul
Rio Grande Do Sul,0.6438450047753309,202404,Sul
Rondonia,0.7052973677467451,202404,Norte
Roraima,0.7383710003383559,202404,Norte
Santa Catarina,0.7311606801501118,202404,Sul
Tocantins,0.6371959551123166,202404,Norte
