Periodo,Estado,Variavel,Unidade,Nivel_Instrucao,Valor
202401,Porto Velho - RO,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,1.0
202404,Porto Velho - RO,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,0.0
202401,Rio Branco - AC,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,1.0
202402,Rio Branco - AC,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,0.0
202403,Rio Branco - AC,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,0.0
202404,Rio Branco - AC,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,0.0
202401,Manaus - AM,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,1.0
202402,Manaus - AM,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,0.0
202403,Manaus - AM,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,2.0
202404,Manaus - AM,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,1.0
202403,Boa Vista - RR,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,0.0
202404,Boa Vista - RR,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,0.0
202404,Macapá - AP,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,1.0
202401,São Luís - MA,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,0.0
202402,São Luís - MA,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,0.0
202403,São Luís - MA,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,0.0
202404,São Luís - MA,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,1.0
