Periodo,Estado,Variavel,Unidade,Nivel_Instrucao,Valor,UF,Regiao
202401,Rondônia,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,1.0,RO,Norte
202404,Rondônia,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,0.0,RO,Norte
202401,Acre,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,1.0,AC,Norte
202402,Acre,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,0.0,AC,Norte
202403,Acre,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,0.0,AC,Norte
202404,Acre,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,0.0,AC,Norte
202401,Amazonas,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,1.0,AM,Norte
202402,Amazonas,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,0.0,AM,Norte
202403,Amazonas,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,2.0,AM,Norte
202404,Amazonas,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,1.0,AM,Norte
202403,Roraima,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,0.0,RR,Norte
202404,Roraima,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,0.0,RR,Norte
202404,Amapá,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,1.0,AP,Norte
202401,Maranhão,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,0.0,MA,Nordeste
202402,Maranhão,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,0.0,MA,Nordeste
202403,Maranhão,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,0.0,MA,Nordeste
202404,Maranhão,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,1.0,MA,Nordeste
202404,Piauí,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,0.0,PI,Nordeste
202401,Ceará,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,1.0,CE,Nordeste
202402,Ceará,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,0.0,CE,Nordeste
202403,Ceará,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,1.0,CE,Nordeste
202404,Ceará,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,2.0,CE,Nordeste
202402,Rio Grande Do Norte,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,0.0,RN,Nordeste
202403,Rio Grande Do Norte,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,0.0,RN,Nordeste
202401,Paraíba,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,1.0,PB,Nordeste
202402,Paraíba,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,1.0,PB,Nordeste
202403,Paraíba,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,0.0,PB,Nordeste
202404,Paraíba,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,1.0,PB,Nordeste
202401,Pernambuco,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,2.0,PE,Nordeste
202402,Pernambuco,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,1.0,PE,Nordeste
202401,Alagoas,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,1.0,AL,Nordeste
202402,Alagoas,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,1.0,AL,Nordeste
202403,Alagoas,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,1.0,AL,Nordeste
202404,Alagoas,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,1.0,AL,Nordeste
202401,Sergipe,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Mil pessoas,Sem instrução e menos de 1 ano de estudo,0.0,SE,Nordeste
